DATE,SDT_DY,holi_bfr,holi_day,holi_aft
2017-03-18,토,0,0,0
2017-03-19,일,0,0,0
2017-03-20,월,0,0,0
2017-03-21,화,0,0,0
2017-03-22,수,0,0,0
2017-03-23,목,0,0,0
2017-03-24,금,0,0,0
2017-03-25,토,0,0,0
2017-03-26,일,0,0,0
2017-03-27,월,0,0,0
2017-03-28,화,0,0,0
2017-03-29,수,0,0,0
2017-03-30,목,0,0,0
2017-03-31,금,0,0,0
2017-04-01,토,0,0,0
2017-04-02,일,0,0,0
2017-04-03,월,0,0,0
2017-04-04,화,0,0,0
2017-04-05,수,0,0,0
2017-04-06,목,0,0,0
2017-04-07,금,0,0,0
2017-04-08,토,0,0,0
2017-04-09,일,0,0,0
2017-04-10,월,0,0,0
2017-04-11,화,0,0,0
2017-04-12,수,0,0,0
2017-04-13,목,0,0,0
2017-04-14,금,0,0,0
2017-04-15,토,0,0,0
2017-04-16,일,0,0,0
2017-04-17,월,0,0,0
2017-04-18,화,0,0,0
2017-04-19,수,0,0,0
2017-04-20,목,0,0,0
2017-04-21,금,0,0,0
2017-04-22,토,0,0,0
2017-04-23,일,0,0,0
2017-04-24,월,0,0,0
2017-04-25,화,0,0,0
2017-04-26,수,0,0,0
2017-04-27,목,0,0,0
2017-04-28,금,0,0,0
2017-04-29,토,0,0,0
2017-04-30,일,0,0,0
2017-05-01,월,0,0,0
2017-05-02,화,1,0,0
2017-05-03,수,0,1,0
2017-05-04,목,0,1,0
2017-05-05,금,0,1,0
2017-05-06,토,0,0,0
2017-05-07,일,0,0,0
2017-05-08,월,0,1,0
2017-05-09,화,0,1,0
2017-05-10,수,0,0,1
2017-05-11,목,0,0,0
2017-05-12,금,0,0,0
2017-05-13,토,0,0,0
2017-05-14,일,0,0,0
2017-05-15,월,0,0,0
2017-05-16,화,0,0,0
2017-05-17,수,0,0,0
2017-05-18,목,0,0,0
2017-05-19,금,0,0,0
2017-05-20,토,0,0,0
2017-05-21,일,0,0,0
2017-05-22,월,0,0,0
2017-05-23,화,0,0,0
2017-05-24,수,0,0,0
2017-05-25,목,0,0,0
2017-05-26,금,0,0,0
2017-05-27,토,0,0,0
2017-05-28,일,0,0,0
2017-05-29,월,0,0,0
2017-05-30,화,0,0,0
2017-05-31,수,0,0,0
2017-06-01,목,0,0,0
2017-06-02,금,0,0,0
2017-06-03,토,0,0,0
2017-06-04,일,0,0,0
2017-06-05,월,0,1,0
2017-06-06,화,0,1,0
2017-06-07,수,0,0,1
2017-06-08,목,0,0,0
2017-06-09,금,0,0,0
2017-06-10,토,0,0,0
2017-06-11,일,0,0,0
2017-06-12,월,0,0,0
2017-06-13,화,0,0,0
2017-06-14,수,0,0,0
2017-06-15,목,0,0,0
2017-06-16,금,0,0,0
2017-06-17,토,0,0,0
2017-06-18,일,0,0,0
2017-06-19,월,0,0,0
2017-06-20,화,0,0,0
2017-06-21,수,0,0,0
2017-06-22,목,0,0,0
2017-06-23,금,0,0,0
2017-06-24,토,0,0,0
2017-06-25,일,0,0,0
2017-06-26,월,0,0,0
2017-06-27,화,0,0,0
2017-06-28,수,0,0,0
2017-06-29,목,0,0,0
2017-06-30,금,0,0,0
2017-07-01,토,0,0,0
2017-07-02,일,0,0,0
2017-07-03,월,0,0,0
2017-07-04,화,0,0,0
2017-07-05,수,0,0,0
2017-07-06,목,0,0,0
2017-07-07,금,0,0,0
2017-07-08,토,0,0,0
2017-07-09,일,0,0,0
2017-07-10,월,0,0,0
2017-07-11,화,0,0,0
2017-07-12,수,0,0,0
2017-07-13,목,0,0,0
2017-07-14,금,0,0,0
2017-07-15,토,0,0,0
2017-07-16,일,0,0,0
2017-07-17,월,0,0,0
2017-07-18,화,0,0,0
2017-07-19,수,0,0,0
2017-07-20,목,0,0,0
2017-07-21,금,0,0,0
2017-07-22,토,0,0,0
2017-07-23,일,0,0,0
2017-07-24,월,0,0,0
2017-07-25,화,0,0,0
2017-07-26,수,0,0,0
2017-07-27,목,0,0,0
2017-07-28,금,0,0,0
2017-07-29,토,0,0,0
2017-07-30,일,0,0,0
2017-07-31,월,0,0,0
2017-08-01,화,0,0,0
2017-08-02,수,0,0,0
2017-08-03,목,0,0,0
2017-08-04,금,0,0,0
2017-08-05,토,0,0,0
2017-08-06,일,0,0,0
2017-08-07,월,0,0,0
2017-08-08,화,0,0,0
2017-08-09,수,0,0,0
2017-08-10,목,0,0,0
2017-08-11,금,0,0,0
2017-08-12,토,0,0,0
2017-08-13,일,0,0,0
2017-08-14,월,0,1,0
2017-08-15,화,0,1,0
2017-08-16,수,0,0,1
2017-08-17,목,0,0,0
2017-08-18,금,0,0,0
2017-08-19,토,0,0,0
2017-08-20,일,0,0,0
2017-08-21,월,0,0,0
2017-08-22,화,0,0,0
2017-08-23,수,0,0,0
2017-08-24,목,0,0,0
2017-08-25,금,0,0,0
2017-08-26,토,0,0,0
2017-08-27,일,0,0,0
2017-08-28,월,0,0,0
2017-08-29,화,0,0,0
2017-08-30,수,0,0,0
2017-08-31,목,0,0,0
2017-09-01,금,0,0,0
2017-09-02,토,0,0,0
2017-09-03,일,0,0,0
2017-09-04,월,0,0,0
2017-09-05,화,0,0,0
2017-09-06,수,0,0,0
2017-09-07,목,0,0,0
2017-09-08,금,0,0,0
2017-09-09,토,0,0,0
2017-09-10,일,0,0,0
2017-09-11,월,0,0,0
2017-09-12,화,0,0,0
2017-09-13,수,0,0,0
2017-09-14,목,0,0,0
2017-09-15,금,0,0,0
2017-09-16,토,0,0,0
2017-09-17,일,0,0,0
2017-09-18,월,0,0,0
2017-09-19,화,0,0,0
2017-09-20,수,0,0,0
2017-09-21,목,0,0,0
2017-09-22,금,0,0,0
2017-09-23,토,0,0,0
2017-09-24,일,0,0,0
2017-09-25,월,0,0,0
2017-09-26,화,0,0,0
2017-09-27,수,0,0,0
2017-09-28,목,0,0,0
2017-09-29,금,0,0,0
2017-09-30,토,0,0,0
2017-10-01,일,0,0,0
2017-10-02,월,0,1,0
2017-10-03,화,0,1,0
2017-10-04,수,0,1,0
2017-10-05,목,0,1,0
2017-10-06,금,0,1,0
2017-10-07,토,0,1,0
2017-10-08,일,0,1,0
2017-10-09,월,0,1,0
2017-10-10,화,0,0,1
2017-10-11,수,0,0,0
2017-10-12,목,0,0,0
2017-10-13,금,0,0,0
2017-10-14,토,0,0,0
2017-10-15,일,0,0,0
2017-10-16,월,0,0,0
2017-10-17,화,0,0,0
2017-10-18,수,0,0,0
2017-10-19,목,0,0,0
2017-10-20,금,0,0,0
2017-10-21,토,0,0,0
2017-10-22,일,0,0,0
2017-10-23,월,0,0,0
2017-10-24,화,0,0,0
2017-10-25,수,0,0,0
2017-10-26,목,0,0,0
2017-10-27,금,0,0,0
2017-10-28,토,0,0,0
2017-10-29,일,0,0,0
2017-10-30,월,0,0,0
2017-10-31,화,0,0,0
2017-11-01,수,0,0,0
2017-11-02,목,0,0,0
2017-11-03,금,0,0,0
2017-11-04,토,0,0,0
2017-11-05,일,0,0,0
2017-11-06,월,0,0,0
2017-11-07,화,0,0,0
2017-11-08,수,0,0,0
2017-11-09,목,0,0,0
2017-11-10,금,0,0,0
2017-11-11,토,0,0,0
2017-11-12,일,0,0,0
2017-11-13,월,0,0,0
2017-11-14,화,0,0,0
2017-11-15,수,0,0,0
2017-11-16,목,0,0,0
2017-11-17,금,0,0,0
2017-11-18,토,0,0,0
2017-11-19,일,0,0,0
2017-11-20,월,0,0,0
2017-11-21,화,0,0,0
2017-11-22,수,0,0,0
2017-11-23,목,0,0,0
2017-11-24,금,0,0,0
2017-11-25,토,0,0,0
2017-11-26,일,0,0,0
2017-11-27,월,0,0,0
2017-11-28,화,0,0,0
2017-11-29,수,0,0,0
2017-11-30,목,0,0,0
2017-12-01,금,0,0,0
2017-12-02,토,0,0,0
2017-12-03,일,0,0,0
2017-12-04,월,0,0,0
2017-12-05,화,0,0,0
2017-12-06,수,0,0,0
2017-12-07,목,0,0,0
2017-12-08,금,0,0,0
2017-12-09,토,0,0,0
2017-12-10,일,0,0,0
2017-12-11,월,0,0,0
2017-12-12,화,0,0,0
2017-12-13,수,0,0,0
2017-12-14,목,0,0,0
2017-12-15,금,0,0,0
2017-12-16,토,0,0,0
2017-12-17,일,0,0,0
2017-12-18,월,0,0,0
2017-12-19,화,0,0,0
2017-12-20,수,0,0,0
2017-12-21,목,0,0,0
2017-12-22,금,0,0,0
2017-12-23,토,0,0,0
2017-12-24,일,0,0,0
2017-12-25,월,0,1,0
2017-12-26,화,0,0,1
2017-12-27,수,0,0,0
2017-12-28,목,0,0,0
2017-12-29,금,0,0,0
2017-12-30,토,0,0,0
2017-12-31,일,0,0,0
2018-01-01,월,0,1,0
2018-01-02,화,0,0,1
2018-01-03,수,0,0,0
2018-01-04,목,0,0,0
2018-01-05,금,0,0,0
2018-01-06,토,0,0,0
2018-01-07,일,0,0,0
2018-01-08,월,0,0,0
2018-01-09,화,0,0,0
2018-01-10,수,0,0,0
2018-01-11,목,0,0,0
2018-01-12,금,0,0,0
2018-01-13,토,0,0,0
2018-01-14,일,0,0,0
2018-01-15,월,0,0,0
2018-01-16,화,0,0,0
2018-01-17,수,0,0,0
2018-01-18,목,0,0,0
2018-01-19,금,0,0,0
2018-01-20,토,0,0,0
2018-01-21,일,0,0,0
2018-01-22,월,0,0,0
2018-01-23,화,0,0,0
2018-01-24,수,0,0,0
2018-01-25,목,0,0,0
2018-01-26,금,0,0,0
2018-01-27,토,0,0,0
2018-01-28,일,0,0,0
2018-01-29,월,0,0,0
2018-01-30,화,0,0,0
2018-01-31,수,0,0,0
2018-02-01,목,0,0,0
2018-02-02,금,0,0,0
2018-02-03,토,0,0,0
2018-02-04,일,0,0,0
2018-02-05,월,0,0,0
2018-02-06,화,0,0,0
2018-02-07,수,0,0,0
2018-02-08,목,0,0,0
2018-02-09,금,0,0,0
2018-02-10,토,0,0,0
2018-02-11,일,0,0,0
2018-02-12,월,0,0,0
2018-02-13,화,0,0,0
2018-02-14,수,1,0,0
2018-02-15,목,0,1,0
2018-02-16,금,0,1,0
2018-02-17,토,0,1,0
2018-02-18,일,0,0,0
2018-02-19,월,0,0,0
2018-02-20,화,0,0,0
2018-02-21,수,0,0,0
2018-02-22,목,0,0,0
2018-02-23,금,0,0,0
2018-02-24,토,0,0,0
2018-02-25,일,0,0,0
2018-02-26,월,0,0,0
2018-02-27,화,0,0,0
2018-02-28,수,1,0,0
2018-03-01,목,0,1,0
2018-03-02,금,0,1,0
2018-03-03,토,0,0,0
2018-03-04,일,0,0,0
2018-03-05,월,0,0,0
2018-03-06,화,0,0,0
2018-03-07,수,0,0,0
2018-03-08,목,0,0,0
2018-03-09,금,0,0,0
2018-03-10,토,0,0,0
2018-03-11,일,0,0,0
2018-03-12,월,0,0,0
2018-03-13,화,0,0,0
2018-03-14,수,0,0,0
2018-03-15,목,0,0,0
2018-03-16,금,0,0,0
2018-03-17,토,0,0,0
2018-03-18,일,0,0,0
2018-03-19,월,0,0,0
2018-03-20,화,0,0,0
2018-03-21,수,0,0,0
2018-03-22,목,0,0,0
2018-03-23,금,0,0,0
2018-03-24,토,0,0,0
2018-03-25,일,0,0,0
2018-03-26,월,0,0,0
2018-03-27,화,0,0,0
2018-03-28,수,0,0,0
2018-03-29,목,0,0,0
2018-03-30,금,0,0,0
2018-03-31,토,0,0,0
2018-04-01,일,0,0,0
2018-04-02,월,0,0,0
2018-04-03,화,0,0,0
2018-04-04,수,0,0,0
2018-04-05,목,0,0,0
2018-04-06,금,0,0,0
2018-04-07,토,0,0,0
2018-04-08,일,0,0,0
2018-04-09,월,0,0,0
2018-04-10,화,0,0,0
2018-04-11,수,0,0,0
2018-04-12,목,0,0,0
2018-04-13,금,0,0,0
2018-04-14,토,0,0,0
2018-04-15,일,0,0,0
2018-04-16,월,0,0,0
2018-04-17,화,0,0,0
2018-04-18,수,0,0,0
2018-04-19,목,0,0,0
2018-04-20,금,0,0,0
2018-04-21,토,0,0,0
2018-04-22,일,0,0,0
2018-04-23,월,0,0,0
2018-04-24,화,0,0,0
2018-04-25,수,0,0,0
2018-04-26,목,0,0,0
2018-04-27,금,0,0,0
2018-04-28,토,0,0,0
2018-04-29,일,0,0,0
2018-04-30,월,0,0,0
2018-05-01,화,0,0,0
2018-05-02,수,0,0,0
2018-05-03,목,0,0,0
2018-05-04,금,1,0,0
2018-05-05,토,0,1,0
2018-05-06,일,0,0,0
2018-05-07,월,0,1,0
2018-05-08,화,0,0,1
2018-05-09,수,0,0,0
2018-05-10,목,0,0,0
2018-05-11,금,0,0,0
2018-05-12,토,0,0,0
2018-05-13,일,0,0,0
2018-05-14,월,0,0,0
2018-05-15,화,0,0,0
2018-05-16,수,0,0,0
2018-05-17,목,0,0,0
2018-05-18,금,0,0,0
2018-05-19,토,0,0,0
2018-05-20,일,0,0,0
2018-05-21,월,0,1,0
2018-05-22,화,0,1,0
2018-05-23,수,0,0,1
2018-05-24,목,0,0,0
2018-05-25,금,0,0,0
2018-05-26,토,0,0,0
2018-05-27,일,0,0,0
2018-05-28,월,0,0,0
2018-05-29,화,0,0,0
2018-05-30,수,0,0,0
2018-05-31,목,0,0,0
2018-06-01,금,0,0,0
2018-06-02,토,0,0,0
2018-06-03,일,0,0,0
2018-06-04,월,0,0,0
2018-06-05,화,1,0,0
2018-06-06,수,0,1,0
2018-06-07,목,0,0,1
2018-06-08,금,0,0,0
2018-06-09,토,0,0,0
2018-06-10,일,0,0,0
2018-06-11,월,0,0,0
2018-06-12,화,1,0,0
2018-06-13,수,0,1,0
2018-06-14,목,0,0,1
2018-06-15,금,0,0,0
2018-06-16,토,0,0,0
2018-06-17,일,0,0,0
2018-06-18,월,0,0,0
2018-06-19,화,0,0,0
2018-06-20,수,0,0,0
2018-06-21,목,0,0,0
2018-06-22,금,0,0,0
2018-06-23,토,0,0,0
2018-06-24,일,0,0,0
2018-06-25,월,0,0,0
2018-06-26,화,0,0,0
2018-06-27,수,0,0,0
2018-06-28,목,0,0,0
2018-06-29,금,0,0,0
2018-06-30,토,0,0,0
2018-07-01,일,0,0,0
2018-07-02,월,0,0,0
2018-07-03,화,0,0,0
2018-07-04,수,0,0,0
2018-07-05,목,0,0,0
2018-07-06,금,0,0,0
2018-07-07,토,0,0,0
2018-07-08,일,0,0,0
2018-07-09,월,0,0,0
2018-07-10,화,0,0,0
2018-07-11,수,0,0,0
2018-07-12,목,0,0,0
2018-07-13,금,0,0,0
2018-07-14,토,0,0,0
2018-07-15,일,0,0,0
2018-07-16,월,0,0,0
2018-07-17,화,0,0,0
2018-07-18,수,0,0,0
2018-07-19,목,0,0,0
2018-07-20,금,0,0,0
2018-07-21,토,0,0,0
2018-07-22,일,0,0,0
2018-07-23,월,0,0,0
2018-07-24,화,0,0,0
2018-07-25,수,0,0,0
2018-07-26,목,0,0,0
2018-07-27,금,0,0,0
2018-07-28,토,0,0,0
2018-07-29,일,0,0,0
2018-07-30,월,0,0,0
2018-07-31,화,0,0,0
2018-08-01,수,0,0,0
2018-08-02,목,0,0,0
2018-08-03,금,0,0,0
2018-08-04,토,0,0,0
2018-08-05,일,0,0,0
2018-08-06,월,0,0,0
2018-08-07,화,0,0,0
2018-08-08,수,0,0,0
2018-08-09,목,0,0,0
2018-08-10,금,0,0,0
2018-08-11,토,0,0,0
2018-08-12,일,0,0,0
2018-08-13,월,0,0,0
2018-08-14,화,1,0,0
2018-08-15,수,0,1,0
2018-08-16,목,0,0,1
2018-08-17,금,0,0,0
2018-08-18,토,0,0,0
2018-08-19,일,0,0,0
2018-08-20,월,0,0,0
2018-08-21,화,0,0,0
2018-08-22,수,0,0,0
2018-08-23,목,0,0,0
2018-08-24,금,0,0,0
2018-08-25,토,0,0,0
2018-08-26,일,0,0,0
2018-08-27,월,0,0,0
2018-08-28,화,0,0,0
2018-08-29,수,0,0,0
2018-08-30,목,0,0,0
2018-08-31,금,0,0,0
2018-09-01,토,0,0,0
2018-09-02,일,0,0,0
2018-09-03,월,0,0,0
2018-09-04,화,0,0,0
2018-09-05,수,0,0,0
2018-09-06,목,0,0,0
2018-09-07,금,0,0,0
2018-09-08,토,0,0,0
2018-09-09,일,0,0,0
2018-09-10,월,0,0,0
2018-09-11,화,0,0,0
2018-09-12,수,0,0,0
2018-09-13,목,0,0,0
2018-09-14,금,0,0,0
2018-09-15,토,0,0,0
2018-09-16,일,0,0,0
2018-09-17,월,0,0,0
2018-09-18,화,0,0,0
2018-09-19,수,0,0,0
2018-09-20,목,0,0,0
2018-09-21,금,0,0,0
2018-09-22,토,0,0,0
2018-09-23,일,0,1,0
2018-09-24,월,0,1,0
2018-09-25,화,0,1,0
2018-09-26,수,0,1,0
2018-09-27,목,0,0,1
2018-09-28,금,0,0,0
2018-09-29,토,0,0,0
2018-09-30,일,0,0,0
2018-10-01,월,0,0,0
2018-10-02,화,1,0,0
2018-10-03,수,0,1,0
2018-10-04,목,0,0,1
2018-10-05,금,0,0,0
2018-10-06,토,0,0,0
2018-10-07,일,0,0,0
2018-10-08,월,0,1,0
2018-10-09,화,0,1,0
2018-10-10,수,0,0,1
2018-10-11,목,0,0,0
2018-10-12,금,0,0,0
2018-10-13,토,0,0,0
2018-10-14,일,0,0,0
2018-10-15,월,0,0,0
2018-10-16,화,0,0,0
2018-10-17,수,0,0,0
2018-10-18,목,0,0,0
2018-10-19,금,0,0,0
2018-10-20,토,0,0,0
2018-10-21,일,0,0,0
2018-10-22,월,0,0,0
2018-10-23,화,0,0,0
2018-10-24,수,0,0,0
2018-10-25,목,0,0,0
2018-10-26,금,0,0,0
2018-10-27,토,0,0,0
2018-10-28,일,0,0,0
2018-10-29,월,0,0,0
2018-10-30,화,0,0,0
2018-10-31,수,0,0,0
2018-11-01,목,0,0,0
2018-11-02,금,0,0,0
2018-11-03,토,0,0,0
2018-11-04,일,0,0,0
2018-11-05,월,0,0,0
2018-11-06,화,0,0,0
2018-11-07,수,0,0,0
2018-11-08,목,0,0,0
2018-11-09,금,0,0,0
2018-11-10,토,0,0,0
2018-11-11,일,0,0,0
2018-11-12,월,0,0,0
2018-11-13,화,0,0,0
2018-11-14,수,0,0,0
2018-11-15,목,0,0,0
2018-11-16,금,0,0,0
2018-11-17,토,0,0,0
2018-11-18,일,0,0,0
2018-11-19,월,0,0,0
2018-11-20,화,0,0,0
2018-11-21,수,0,0,0
2018-11-22,목,0,0,0
2018-11-23,금,0,0,0
2018-11-24,토,0,0,0
2018-11-25,일,0,0,0
2018-11-26,월,0,0,0
2018-11-27,화,0,0,0
2018-11-28,수,0,0,0
2018-11-29,목,0,0,0
2018-11-30,금,0,0,0
2018-12-01,토,0,0,0
2018-12-02,일,0,0,0
2018-12-03,월,0,0,0
2018-12-04,화,0,0,0
2018-12-05,수,0,0,0
2018-12-06,목,0,0,0
2018-12-07,금,0,0,0
2018-12-08,토,0,0,0
2018-12-09,일,0,0,0
2018-12-10,월,0,0,0
2018-12-11,화,0,0,0
2018-12-12,수,0,0,0
2018-12-13,목,0,0,0
2018-12-14,금,0,0,0
2018-12-15,토,0,0,0
2018-12-16,일,0,0,0
2018-12-17,월,0,0,0
2018-12-18,화,0,0,0
2018-12-19,수,0,0,0
2018-12-20,목,0,0,0
2018-12-21,금,0,0,0
2018-12-22,토,0,0,0
2018-12-23,일,0,0,0
2018-12-24,월,0,1,0
2018-12-25,화,0,1,0
2018-12-26,수,0,0,1
2018-12-27,목,0,0,0
2018-12-28,금,0,0,0
2018-12-29,토,0,0,0
2018-12-30,일,0,0,0
2018-12-31,월,0,1,0
2019-01-01,화,0,1,0
2019-01-02,수,0,0,1
2019-01-03,목,0,0,0
2019-01-04,금,0,0,0
2019-01-05,토,0,0,0
2019-01-06,일,0,0,0
2019-01-07,월,0,0,0
2019-01-08,화,0,0,0
2019-01-09,수,0,0,0
2019-01-10,목,0,0,0
2019-01-11,금,0,0,0
2019-01-12,토,0,0,0
2019-01-13,일,0,0,0
2019-01-14,월,0,0,0
2019-01-15,화,0,0,0
2019-01-16,수,0,0,0
2019-01-17,목,0,0,0
2019-01-18,금,0,0,0
2019-01-19,토,0,0,0
2019-01-20,일,0,0,0
2019-01-21,월,0,0,0
2019-01-22,화,0,0,0
2019-01-23,수,0,0,0
2019-01-24,목,0,0,0
2019-01-25,금,0,0,0
2019-01-26,토,0,0,0
2019-01-27,일,0,0,0
2019-01-28,월,0,0,0
2019-01-29,화,0,0,0
2019-01-30,수,0,0,0
2019-01-31,목,0,0,0
2019-02-01,금,0,0,0
2019-02-02,토,0,0,0
2019-02-03,일,0,0,0
2019-02-04,월,0,1,0
2019-02-05,화,0,1,0
2019-02-06,수,0,1,0
2019-02-07,목,0,0,1
2019-02-08,금,0,0,0
2019-02-09,토,0,0,0
2019-02-10,일,0,0,0
2019-02-11,월,0,0,0
2019-02-12,화,0,0,0
2019-02-13,수,0,0,0
2019-02-14,목,0,0,0
2019-02-15,금,0,0,0
2019-02-16,토,0,0,0
2019-02-17,일,0,0,0
2019-02-18,월,0,0,0
2019-02-19,화,0,0,0
2019-02-20,수,0,0,0
2019-02-21,목,0,0,0
2019-02-22,금,0,0,0
2019-02-23,토,0,0,0
2019-02-24,일,0,0,0
2019-02-25,월,0,0,0
2019-02-26,화,0,0,0
2019-02-27,수,0,0,0
2019-02-28,목,1,0,0
2019-03-01,금,0,1,0
2019-03-02,토,0,0,0
2019-03-03,일,0,0,0
2019-03-04,월,0,0,0
2019-03-05,화,0,0,0
2019-03-06,수,0,0,0
2019-03-07,목,0,0,0
2019-03-08,금,0,0,0
2019-03-09,토,0,0,0
2019-03-10,일,0,0,0
2019-03-11,월,0,0,0
2019-03-12,화,0,0,0
2019-03-13,수,0,0,0
2019-03-14,목,0,0,0
2019-03-15,금,0,0,0
2019-03-16,토,0,0,0
2019-03-17,일,0,0,0
2019-03-18,월,0,0,0
2019-03-19,화,0,0,0
2019-03-20,수,0,0,0
2019-03-21,목,0,0,0
2019-03-22,금,0,0,0
2019-03-23,토,0,0,0
2019-03-24,일,0,0,0
2019-03-25,월,0,0,0
2019-03-26,화,0,0,0
2019-03-27,수,0,0,0
2019-03-28,목,0,0,0
2019-03-29,금,0,0,0
2019-03-30,토,0,0,0
2019-03-31,일,0,0,0
2019-04-01,월,0,0,0
2019-04-02,화,0,0,0
2019-04-03,수,0,0,0
2019-04-04,목,0,0,0
2019-04-05,금,0,0,0
2019-04-06,토,0,0,0
2019-04-07,일,0,0,0
2019-04-08,월,0,0,0
2019-04-09,화,0,0,0
2019-04-10,수,0,0,0
2019-04-11,목,0,0,0
2019-04-12,금,0,0,0
2019-04-13,토,0,0,0
2019-04-14,일,0,0,0
2019-04-15,월,0,0,0
2019-04-16,화,0,0,0
2019-04-17,수,0,0,0
2019-04-18,목,0,0,0
2019-04-19,금,0,0,0
2019-04-20,토,0,0,0
2019-04-21,일,0,0,0
2019-04-22,월,0,0,0
2019-04-23,화,0,0,0
2019-04-24,수,0,0,0
2019-04-25,목,0,0,0
2019-04-26,금,0,0,0
2019-04-27,토,0,0,0
2019-04-28,일,0,0,0
2019-04-29,월,0,0,0
2019-04-30,화,0,0,0
2019-05-01,수,0,0,0
2019-05-02,목,0,0,0
2019-05-03,금,0,0,0
2019-05-04,토,0,0,0
2019-05-05,일,0,1,0
2019-05-06,월,0,1,0
2019-05-07,화,0,0,1
2019-05-08,수,0,0,0
2019-05-09,목,0,0,0
2019-05-10,금,0,0,0
2019-05-11,토,0,0,0
2019-05-12,일,0,1,0
2019-05-13,월,0,0,1
2019-05-14,화,0,0,0
2019-05-15,수,0,0,0
2019-05-16,목,0,0,0
2019-05-17,금,0,0,0
2019-05-18,토,0,0,0
2019-05-19,일,0,0,0
2019-05-20,월,0,0,0
2019-05-21,화,0,0,0
2019-05-22,수,0,0,0
2019-05-23,목,0,0,0
2019-05-24,금,0,0,0
2019-05-25,토,0,0,0
2019-05-26,일,0,0,0
2019-05-27,월,0,0,0
2019-05-28,화,0,0,0
2019-05-29,수,0,0,0
2019-05-30,목,0,0,0
2019-05-31,금,0,0,0
2019-06-01,토,0,0,0
2019-06-02,일,0,0,0
2019-06-03,월,0,0,0
2019-06-04,화,0,0,0
2019-06-05,수,1,0,0
2019-06-06,목,0,1,0
2019-06-07,금,0,1,0
2019-06-08,토,0,0,0
2019-06-09,일,0,0,0
2019-06-10,월,0,0,0
2019-06-11,화,0,0,0
2019-06-12,수,0,0,0
2019-06-13,목,0,0,0
2019-06-14,금,0,0,0
2019-06-15,토,0,0,0
2019-06-16,일,0,0,0
2019-06-17,월,0,0,0
2019-06-18,화,0,0,0
2019-06-19,수,0,0,0
2019-06-20,목,0,0,0
2019-06-21,금,0,0,0
2019-06-22,토,0,0,0
2019-06-23,일,0,0,0
2019-06-24,월,0,0,0
2019-06-25,화,0,0,0
2019-06-26,수,0,0,0
2019-06-27,목,0,0,0
2019-06-28,금,0,0,0
2019-06-29,토,0,0,0
2019-06-30,일,0,0,0
2019-09-16,월,0,0,0
2019-09-17,화,0,0,0
2019-09-18,수,0,0,0
2019-09-19,목,0,0,0
2019-09-20,금,0,0,0
2019-09-21,토,0,0,0
2019-09-22,일,0,0,0
2019-09-23,월,0,0,0
2019-09-24,화,0,0,0
2019-09-25,수,0,0,0
2019-09-26,목,0,0,0
2019-09-27,금,0,0,0
2019-09-28,토,0,0,0
2019-09-29,일,0,0,0
2019-09-30,월,0,0,0
