,SDT_YY,SDT_MM,SDT_DD,SDT_DY,ARP,ODP,FLO,FLT,AOD,STT,DLY,DLY_RATE
117,2019,9,16,월,ARP1,ARP9,J,J1334,D,8:40,0,0.08146152
118,2019,9,16,월,ARP1,ARP5,J,J1609,A,16:30,0,0.10972482
119,2019,9,16,월,ARP5,ARP1,J,J1609,D,15:30,0,0.03606382
120,2019,9,16,월,ARP5,ARP1,J,J1610,A,18:10,0,0.05242151
121,2019,9,16,월,ARP1,ARP5,J,J1610,D,17:10,0,0.07952747
122,2019,9,16,월,ARP1,ARP8,A,A1704,A,11:55,0,0.11308545
123,2019,9,16,월,ARP8,ARP1,A,A1704,D,11:00,0,0.11308545
124,2019,9,16,월,ARP1,ARP5,J,J1611,A,19:50,0,0.10581356
125,2019,9,16,월,ARP5,ARP1,J,J1611,D,18:50,0,0.12320614
126,2019,9,16,월,ARP8,ARP1,A,A1707,A,16:50,0,0.08533633
127,2019,9,16,월,ARP1,ARP8,A,A1707,D,16:00,0,0.08533633
128,2019,9,16,월,ARP1,ARP8,A,A1708,A,18:10,0,0.095641166
129,2019,9,16,월,ARP8,ARP1,A,A1708,D,17:20,1,0.28176495
130,2019,9,16,월,ARP9,ARP1,J,J1336,A,18:10,0,0.0944787
131,2019,9,16,월,ARP1,ARP9,J,J1336,D,17:10,0,0.12644917
132,2019,9,16,월,ARP5,ARP1,J,J1612,A,21:05,0,0.04821825
133,2019,9,16,월,ARP1,ARP5,J,J1612,D,20:05,0,0.025540084
134,2019,9,16,월,ARP9,ARP1,A,A1733,A,13:30,0,0.058720797
135,2019,9,16,월,ARP1,ARP9,A,A1733,D,12:35,0,0.14184943
136,2019,9,16,월,ARP1,ARP9,J,J1337,A,19:50,0,0.11683196
137,2019,9,16,월,ARP9,ARP1,J,J1337,D,18:50,1,0.18059275
138,2019,9,16,월,ARP12,ARP1,J,J1634,A,7:50,0,0.025854707
139,2019,9,16,월,ARP1,ARP12,J,J1634,D,6:50,0,0.062373847
140,2019,9,16,월,ARP1,ARP12,J,J1635,A,9:25,0,0.07681766
141,2019,9,16,월,ARP12,ARP1,J,J1635,D,8:25,0,0.14067093
142,2019,9,16,월,ARP1,ARP9,A,A1734,A,15:00,0,0.1390906
143,2019,9,16,월,ARP9,ARP1,A,A1734,D,14:05,0,0.11561951
144,2019,9,16,월,ARP5,ARP1,B,B1891,A,8:10,0,0.051360935
145,2019,9,16,월,ARP1,ARP5,B,B1891,D,7:10,0,0.02691099
146,2019,9,16,월,ARP12,ARP1,J,J1636,A,19:30,0,0.10330397
147,2019,9,16,월,ARP1,ARP12,J,J1636,D,18:30,0,0.09330401
148,2019,9,16,월,ARP9,ARP1,A,A1735,A,17:15,0,0.17324156
149,2019,9,16,월,ARP1,ARP9,A,A1735,D,16:20,0,0.11909214
150,2019,9,16,월,ARP1,ARP5,B,B1892,A,13:35,0,0.017905533
151,2019,9,16,월,ARP5,ARP1,B,B1892,D,12:35,0,0.05552748
152,2019,9,16,월,ARP1,ARP9,A,A1736,A,18:45,0,0.16614294
153,2019,9,16,월,ARP9,ARP1,A,A1736,D,17:50,1,0.21069124
154,2019,9,16,월,ARP11,ARP1,J,J1538,A,16:45,0,0.10924944
155,2019,9,16,월,ARP1,ARP11,J,J1538,D,15:50,0,0.046465695
156,2019,9,16,월,ARP1,ARP12,J,J1637,A,21:05,0,0.08951974
157,2019,9,16,월,ARP12,ARP1,J,J1637,D,20:05,0,0.12679815
158,2019,9,16,월,ARP5,ARP1,B,B1893,A,15:15,0,0.08224794
159,2019,9,16,월,ARP1,ARP5,B,B1893,D,14:15,0,0.09229207
160,2019,9,16,월,ARP1,ARP11,J,J1539,A,18:20,0,0.06976852
161,2019,9,16,월,ARP11,ARP1,J,J1539,D,17:25,0,0.10121831
162,2019,9,16,월,ARP1,ARP5,B,B1894,A,21:00,0,0.025934994
163,2019,9,16,월,ARP5,ARP1,B,B1894,D,20:00,0,0.044971585
164,2019,9,16,월,ARP1,ARP5,J,J1605,A,9:50,0,0.0260005
165,2019,9,16,월,ARP5,ARP1,J,J1605,D,8:50,0,0.08088648
166,2019,9,16,월,ARP5,ARP1,J,J1606,A,11:30,0,0.11755058
167,2019,9,16,월,ARP1,ARP5,J,J1606,D,10:30,1,0.18059275
168,2019,9,16,월,ARP2,ARP15,A,A1533,A,7:30,0,0.11165941
169,2019,9,16,월,ARP15,ARP2,A,A1533,D,6:30,0,0.15872046
170,2019,9,16,월,ARP1,ARP2,B,B1800,A,7:55,0,0.021616787
171,2019,9,16,월,ARP2,ARP1,B,B1800,D,7:00,0,0.021616787
172,2019,9,16,월,ARP1,ARP2,B,B1816,A,15:55,0,0.10620931
173,2019,9,16,월,ARP2,ARP1,B,B1816,D,15:00,0,0.10620931
174,2019,9,16,월,ARP2,ARP1,B,B1829,A,21:35,0,0.058115512
175,2019,9,16,월,ARP1,ARP2,B,B1829,D,20:30,1,0.18059275
176,2019,9,16,월,ARP2,ARP1,J,J1108,A,10:05,0,0.12443927
177,2019,9,16,월,ARP1,ARP2,J,J1108,D,9:00,0,0.022538751
178,2019,9,16,월,ARP2,ARP1,J,J1114,A,13:05,0,0.115059435
179,2019,9,16,월,ARP1,ARP2,J,J1114,D,12:00,0,0.11187947
180,2019,9,16,월,ARP1,ARP2,J,J1127,A,20:40,0,0.0973649
181,2019,9,16,월,ARP2,ARP1,J,J1127,D,19:40,0,0.11827952
182,2019,9,16,월,ARP15,ARP2,J,J1411,A,17:40,0,0.15537506
183,2019,9,16,월,ARP2,ARP15,J,J1411,D,16:30,0,0.16031265
184,2019,9,16,월,ARP1,ARP2,B,B1802,A,8:55,0,0.027382433
185,2019,9,16,월,ARP2,ARP1,B,B1802,D,8:00,0,0.027382433
186,2019,9,16,월,ARP2,ARP1,B,B1817,A,15:25,0,0.16457456
187,2019,9,16,월,ARP1,ARP2,B,B1817,D,14:30,1,0.18059275
188,2019,9,16,월,ARP1,ARP2,J,J1109,A,11:40,0,0.13068956
189,2019,9,16,월,ARP1,ARP2,J,J1115,A,14:40,0,0.17388237
190,2019,9,16,월,ARP2,ARP1,J,J1115,D,13:40,1,0.18059275
191,2019,9,16,월,ARP2,ARP1,J,J1128,A,20:05,0,0.09517825
192,2019,9,16,월,ARP1,ARP2,J,J1128,D,19:00,0,0.09877947
193,2019,9,16,월,ARP2,ARP10,M,M1351,A,14:30,1,0.18059275
194,2019,9,16,월,ARP10,ARP2,M,M1351,D,13:40,1,0.18059275
195,2019,9,16,월,ARP2,ARP1,J,J1116,A,14:05,0,0.046335667
196,2019,9,16,월,ARP1,ARP2,J,J1116,D,13:00,0,0.115059435
197,2019,9,16,월,ARP10,ARP2,M,M1352,A,16:05,1,0.18059275
198,2019,9,16,월,ARP2,ARP10,M,M1352,D,15:05,1,0.18059275
199,2019,9,16,월,ARP15,ARP2,A,A1534,A,17:00,0,0.15785441
200,2019,9,16,월,ARP2,ARP15,A,A1534,D,16:05,0,0.17042315
201,2019,9,16,월,ARP2,ARP1,B,B1803,A,8:25,0,0.054337054
202,2019,9,16,월,ARP1,ARP2,B,B1803,D,7:30,0,0.056434393
203,2019,9,16,월,ARP1,ARP2,B,B1818,A,16:55,1,0.18059275
204,2019,9,16,월,ARP2,ARP1,B,B1818,D,16:00,1,0.18059275
205,2019,9,16,월,ARP1,ARP2,B,B1804,A,9:55,0,0.06736395
206,2019,9,16,월,ARP2,ARP1,B,B1804,D,9:00,0,0.06736395
207,2019,9,16,월,ARP2,ARP1,B,B1819,A,16:25,0,0.16343996
208,2019,9,16,월,ARP1,ARP2,B,B1819,D,15:30,0,0.16457456
209,2019,9,16,월,ARP1,ARP2,J,J1117,A,15:40,0,0.14174783
210,2019,9,16,월,ARP2,ARP1,J,J1117,D,14:40,0,0.17388237
211,2019,9,16,월,ARP2,ARP1,B,B1805,A,9:25,0,0.04751587
212,2019,9,16,월,ARP1,ARP2,B,B1805,D,8:30,0,0.054337054
213,2019,9,16,월,ARP1,ARP2,B,B1820,A,17:55,1,0.19976959
214,2019,9,16,월,ARP2,ARP1,B,B1820,D,17:00,1,0.19976959
215,2019,9,16,월,ARP2,ARP1,J,J1118,A,15:05,0,0.03760034
216,2019,9,16,월,ARP1,ARP2,J,J1118,D,14:00,0,0.046335667
217,2019,9,16,월,ARP1,ARP2,B,B1806,A,10:55,0,0.072300404
218,2019,9,16,월,ARP2,ARP1,B,B1806,D,10:00,0,0.072300404
219,2019,9,16,월,ARP2,ARP1,B,B1821,A,17:25,1,0.18059275
220,2019,9,16,월,ARP1,ARP2,B,B1821,D,16:30,0,0.16343996
221,2019,9,16,월,ARP1,ARP2,J,J1119,A,16:40,0,0.114735186
222,2019,9,16,월,ARP2,ARP1,J,J1119,D,15:40,0,0.14174783
223,2019,9,16,월,ARP1,ARP2,J,J1129,A,21:40,0,0.06810093
224,2019,9,16,월,ARP2,ARP1,J,J1129,D,20:40,0,0.0973649
225,2019,9,16,월,ARP2,ARP1,J,J1130,A,21:05,0,0.03693503
226,2019,9,16,월,ARP1,ARP2,J,J1130,D,20:00,0,0.09517825
227,2019,9,16,월,ARP2,ARP1,B,B1807,A,10:25,0,0.08575389
228,2019,9,16,월,ARP1,ARP2,B,B1807,D,9:30,0,0.04751587
229,2019,9,16,월,ARP2,ARP1,J,J1120,A,16:05,0,0.083511055
230,2019,9,16,월,ARP1,ARP2,J,J1120,D,15:00,0,0.03760034
231,2019,9,16,월,ARP2,ARP15,J,J1404,A,9:30,1,0.18059275
232,2019,9,16,월,ARP15,ARP2,J,J1404,D,8:25,1,0.23926803
233,2019,9,16,월,ARP1,ARP2,B,B1822,A,18:55,1,0.18059275
234,2019,9,16,월,ARP2,ARP1,B,B1822,D,18:00,1,0.18059275
235,2019,9,16,월,ARP15,ARP2,J,J1405,A,8:10,0,0.023941666
236,2019,9,16,월,ARP2,ARP15,J,J1405,D,7:05,0,0.03692481
237,2019,9,16,월,ARP1,ARP2,B,B1808,A,11:55,0,0.15163925
238,2019,9,16,월,ARP2,ARP1,B,B1808,D,11:00,0,0.15163925
239,2019,9,16,월,ARP2,ARP1,B,B1823,A,18:25,1,0.22144058
240,2019,9,16,월,ARP1,ARP2,B,B1823,D,17:30,1,0.18059275
241,2019,9,16,월,ARP1,ARP2,J,J1121,A,17:40,1,0.18059275
242,2019,9,16,월,ARP2,ARP1,J,J1121,D,16:40,0,0.114735186
243,2019,9,16,월,ARP2,ARP1,B,B1809,A,11:25,1,0.18059275
244,2019,9,16,월,ARP1,ARP2,B,B1809,D,10:30,0,0.08575389
245,2019,9,16,월,ARP1,ARP2,B,B1824,A,19:55,0,0.16994822
246,2019,9,16,월,ARP2,ARP1,B,B1824,D,19:00,0,0.16994822
247,2019,9,16,월,ARP1,ARP2,J,J1103,A,8:00,0,0.058359355
248,2019,9,16,월,ARP2,ARP1,J,J1103,D,7:00,0,0.023027837
249,2019,9,16,월,ARP2,ARP1,J,J1109,D,10:40,1,0.18059275
250,2019,9,16,월,ARP2,ARP1,J,J1122,A,17:05,0,0.06866199
251,2019,9,16,월,ARP1,ARP2,J,J1122,D,16:00,0,0.083511055
252,2019,9,16,월,ARP2,ARP15,J,J1406,A,19:30,1,0.31362996
253,2019,9,16,월,ARP15,ARP2,J,J1406,D,18:25,1,0.20186162
254,2019,9,16,월,ARP2,ARP1,B,B1811,A,12:25,1,0.18059275
255,2019,9,16,월,ARP1,ARP2,B,B1811,D,11:30,1,0.18059275
256,2019,9,16,월,ARP2,ARP1,B,B1825,A,19:25,1,0.24263197
257,2019,9,16,월,ARP1,ARP2,B,B1825,D,18:30,1,0.22144058
258,2019,9,16,월,ARP2,ARP1,J,J1104,A,8:05,0,0.028920054
259,2019,9,16,월,ARP1,ARP2,J,J1104,D,7:00,0,0.009923458
260,2019,9,16,월,ARP2,ARP1,J,J1110,A,11:05,0,0.16208053
261,2019,9,16,월,ARP1,ARP2,J,J1110,D,10:00,0,0.12443927
262,2019,9,16,월,ARP1,ARP2,J,J1123,A,18:40,0,0.16203913
263,2019,9,16,월,ARP2,ARP1,J,J1123,D,17:40,1,0.18059275
264,2019,9,16,월,ARP15,ARP2,J,J1407,A,11:55,0,0.108472794
265,2019,9,16,월,ARP2,ARP15,J,J1407,D,10:50,1,0.18059275
266,2019,9,16,월,ARP1,ARP2,B,B1812,A,13:55,0,0.10863891
267,2019,9,16,월,ARP2,ARP1,B,B1812,D,13:00,0,0.10863891
268,2019,9,16,월,ARP1,ARP2,H,H1207,A,20:25,1,0.3083412
269,2019,9,16,월,ARP2,ARP1,H,H1207,D,19:30,1,0.35346878
270,2019,9,16,월,ARP1,ARP2,J,J1105,A,9:40,0,0.0865359
271,2019,9,16,월,ARP2,ARP1,J,J1105,D,8:40,0,0.058359355
272,2019,9,16,월,ARP1,ARP2,J,J1111,A,12:40,0,0.11286372
273,2019,9,16,월,ARP2,ARP1,J,J1124,A,18:05,0,0.07806423
274,2019,9,16,월,ARP1,ARP2,J,J1124,D,17:00,0,0.06866199
275,2019,9,16,월,ARP2,ARP15,J,J1408,A,18:20,1,0.20186162
276,2019,9,16,월,ARP15,ARP2,J,J1408,D,17:15,1,0.35754877
277,2019,9,16,월,ARP1,ARP2,B,B1826,A,20:55,0,0.15060699
278,2019,9,16,월,ARP2,ARP1,B,B1826,D,20:00,0,0.15060699
279,2019,9,16,월,ARP2,ARP1,J,J1111,D,11:40,0,0.13068956
280,2019,9,16,월,ARP2,ARP15,A,A1531,A,20:20,1,0.18059275
281,2019,9,16,월,ARP15,ARP2,A,A1531,D,19:20,1,0.6333712
282,2019,9,16,월,ARP2,ARP1,B,B1813,A,13:25,0,0.12177539
283,2019,9,16,월,ARP1,ARP2,B,B1813,D,12:30,1,0.18059275
284,2019,9,16,월,ARP2,ARP1,B,B1827,A,20:25,1,0.18059275
285,2019,9,16,월,ARP1,ARP2,B,B1827,D,19:30,1,0.24263197
286,2019,9,16,월,ARP2,ARP1,H,H1208,A,21:05,0,0.07651639
287,2019,9,16,월,ARP1,ARP2,H,H1208,D,19:50,1,0.3544816
288,2019,9,16,월,ARP2,ARP1,J,J1106,A,9:05,0,0.022538751
289,2019,9,16,월,ARP1,ARP2,J,J1106,D,8:00,0,0.028920054
290,2019,9,16,월,ARP2,ARP1,J,J1112,A,12:05,0,0.11187947
291,2019,9,16,월,ARP1,ARP2,J,J1112,D,11:00,0,0.16208053
292,2019,9,16,월,ARP1,ARP2,J,J1125,A,19:40,0,0.11827952
293,2019,9,16,월,ARP2,ARP1,J,J1125,D,18:40,0,0.16203913
294,2019,9,16,월,ARP15,ARP2,J,J1409,A,14:35,1,0.18059275
295,2019,9,16,월,ARP2,ARP15,J,J1409,D,13:30,1,0.18059275
296,2019,9,16,월,ARP2,ARP15,J,J1410,A,20:40,1,0.18059275
297,2019,9,16,월,ARP15,ARP2,J,J1410,D,19:35,1,0.31362996
298,2019,9,16,월,ARP15,ARP2,A,A1532,A,8:00,0,0.018354893
299,2019,9,16,월,ARP2,ARP15,A,A1532,D,7:00,0,0.04601267
300,2019,9,16,월,ARP1,ARP2,B,B1814,A,14:55,0,0.08869478
301,2019,9,16,월,ARP2,ARP1,B,B1814,D,14:00,0,0.08869478
302,2019,9,16,월,ARP1,ARP2,B,B1828,A,21:55,0,0.11305949
303,2019,9,16,월,ARP2,ARP1,B,B1828,D,21:00,0,0.11305949
304,2019,9,16,월,ARP1,ARP2,J,J1107,A,10:40,1,0.18059275
305,2019,9,16,월,ARP2,ARP1,J,J1107,D,9:40,0,0.0865359
306,2019,9,16,월,ARP1,ARP2,J,J1113,A,13:40,1,0.18059275
307,2019,9,16,월,ARP2,ARP1,J,J1113,D,12:40,0,0.11286372
308,2019,9,16,월,ARP2,ARP1,J,J1126,A,19:05,0,0.09877947
309,2019,9,16,월,ARP1,ARP2,J,J1126,D,18:00,0,0.07806423
310,2019,9,16,월,ARP3,ARP6,A,A1235,A,18:20,1,0.372518
311,2019,9,16,월,ARP6,ARP3,A,A1235,D,17:10,1,0.19377413
312,2019,9,16,월,ARP1,ARP3,A,A1914,A,10:30,0,0.054345757
313,2019,9,16,월,ARP3,ARP1,A,A1914,D,9:20,0,0.07157731
314,2019,9,16,월,ARP3,ARP1,A,A1941,A,12:25,0,0.13539436
315,2019,9,16,월,ARP1,ARP3,A,A1941,D,11:15,0,0.10004899
316,2019,9,16,월,ARP3,ARP1,A,A1963,A,16:15,1,0.21369478
317,2019,9,16,월,ARP1,ARP3,A,A1963,D,15:05,1,0.24863893
318,2019,9,16,월,ARP3,ARP1,A,A1991,A,20:35,0,0.1746203
319,2019,9,16,월,ARP1,ARP3,A,A1991,D,19:20,1,0.30074084
320,2019,9,16,월,ARP3,ARP2,B,B1111,A,14:20,0,0.11974859
321,2019,9,16,월,ARP2,ARP3,B,B1111,D,13:20,0,0.07997045
322,2019,9,16,월,ARP3,ARP2,B,B1173,A,18:05,0,0.13805988
323,2019,9,16,월,ARP2,ARP3,B,B1173,D,17:00,0,0.13227361
324,2019,9,16,월,ARP3,ARP5,B,B1307,A,17:10,0,0.03883937
325,2019,9,16,월,ARP5,ARP3,B,B1307,D,16:00,0,0.13282895
326,2019,9,16,월,ARP3,ARP1,F,F1213,A,13:00,1,0.28572538
327,2019,9,16,월,ARP1,ARP3,F,F1213,D,11:50,0,0.15408915
328,2019,9,16,월,ARP1,ARP3,F,F1226,A,19:35,1,0.18059275
329,2019,9,16,월,ARP3,ARP1,F,F1226,D,18:25,0,0.16314381
330,2019,9,16,월,ARP3,ARP6,F,F1701,A,8:50,0,0.052832097
331,2019,9,16,월,ARP6,ARP3,F,F1701,D,7:50,0,0.066645324
332,2019,9,16,월,ARP1,ARP3,H,H1124,A,19:00,1,0.18059275
333,2019,9,16,월,ARP3,ARP1,H,H1124,D,17:50,1,0.439129
334,2019,9,16,월,ARP3,ARP1,H,H1145,A,17:55,0,0.1467104
335,2019,9,16,월,ARP1,ARP3,H,H1145,D,16:55,0,0.12062219
336,2019,9,16,월,ARP1,ARP3,H,H1146,A,19:50,1,0.18059275
337,2019,9,16,월,ARP3,ARP1,H,H1146,D,18:40,1,0.31621367
